사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-20,경부선,1711,성균관대,47 ,0 ,7623 ,1324 ,22124 ,4929 ,58871 ,7805 ,46845 ,15384 ,20596 ,11847 ,14300 ,8980 ,13492 ,8854 ,14735 ,9686 ,13795 ,12665 ,13165 ,12472 ,12949 ,13394 ,14880 ,18170 ,18347 ,25026 ,20749 ,49074 ,11942 ,45544 ,9556 ,27328 ,9126 ,21897 ,8466 ,19781 ,3662 ,13381 ,247 ,3788 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1712,화서,281 ,1 ,6336 ,1555 ,16220 ,5017 ,34390 ,3946 ,24261 ,7937 ,10770 ,5466 ,7762 ,4196 ,7340 ,4367 ,7173 ,4473 ,7145 ,5624 ,6443 ,6107 ,6370 ,6952 ,8253 ,8610 ,9535 ,12663 ,8906 ,24406 ,5231 ,24800 ,3685 ,14374 ,3380 ,11256 ,2833 ,10647 ,905 ,6525 ,67 ,1989 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1713,수원,1437 ,32 ,19109 ,4415 ,30449 ,24497 ,63519 ,45974 ,58263 ,58732 ,35503 ,51186 ,30872 ,39976 ,34484 ,42179 ,37365 ,49005 ,39301 ,53885 ,40069 ,50237 ,45757 ,52595 ,58010 ,57599 ,66497 ,70329 ,79326 ,99183 ,62712 ,80904 ,62494 ,49461 ,45626 ,37666 ,43672 ,31868 ,17482 ,20971 ,584 ,6929 ,1 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1714,독산,456 ,0 ,6130 ,2494 ,14319 ,11787 ,37540 ,33190 ,34160 ,92881 ,17569 ,40912 ,12153 ,13478 ,12222 ,10524 ,14119 ,10708 ,14580 ,10683 ,13418 ,12398 ,14793 ,12559 ,19246 ,14853 ,41803 ,19300 ,68781 ,34512 ,32207 ,33160 ,17226 ,17541 ,13517 ,16314 ,8349 ,13203 ,3116 ,10296 ,79 ,386 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1715,세류,289 ,2 ,2921 ,650 ,6386 ,2216 ,12965 ,4151 ,8386 ,4121 ,4251 ,2520 ,3458 ,2423 ,3354 ,1974 ,3430 ,2396 ,3126 ,2962 ,3012 ,2894 ,3331 ,3487 ,3884 ,3580 ,5070 ,5158 ,5533 ,9233 ,3325 ,8916 ,2601 ,6094 ,2293 ,4556 ,1492 ,3985 ,517 ,2589 ,14 ,806 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1716,병점,2398 ,16 ,6469 ,3447 ,20152 ,10715 ,42426 ,16668 ,30318 ,21032 ,18967 ,12145 ,14652 ,8423 ,15404 ,8500 ,15791 ,11293 ,15113 ,12410 ,14692 ,13073 ,16008 ,14057 ,18786 ,17892 ,25343 ,21917 ,30558 ,37326 ,15591 ,36299 ,11259 ,25769 ,9525 ,21616 ,7481 ,19183 ,1957 ,12747 ,25 ,6942 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1717,세마,165 ,0 ,1516 ,476 ,4646 ,1358 ,7400 ,3136 ,5601 ,4863 ,4615 ,1471 ,2889 ,1429 ,2760 ,1424 ,2850 ,1485 ,2801 ,1698 ,2713 ,1835 ,2700 ,2325 ,3093 ,3074 ,4256 ,3525 ,4642 ,5759 ,2403 ,6066 ,1669 ,4417 ,1317 ,3719 ,878 ,3185 ,305 ,1868 ,46 ,162 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1718,오산대,96 ,0 ,1874 ,502 ,4115 ,1716 ,8297 ,3711 ,5197 ,4141 ,3626 ,2109 ,2895 ,1825 ,2653 ,1724 ,2991 ,1889 ,2840 ,2445 ,2816 ,2532 ,2897 ,2335 ,3676 ,3224 ,5003 ,4525 ,5958 ,6378 ,3037 ,6449 ,2335 ,4145 ,2255 ,3432 ,1419 ,2760 ,678 ,1704 ,63 ,142 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1719,오산,123 ,0 ,5595 ,1429 ,10528 ,6261 ,18802 ,19498 ,14240 ,18096 ,12244 ,9363 ,10550 ,7699 ,11138 ,7974 ,12381 ,8696 ,11541 ,9367 ,11172 ,10561 ,12138 ,10170 ,13369 ,15315 ,19170 ,15396 ,26097 ,20206 ,12404 ,22568 ,10708 ,14462 ,7493 ,11906 ,5132 ,9421 ,1859 ,5270 ,111 ,538 ,1 ,1 ,0 ,0 ,0 ,0 
Feb-20,경부선,1720,진위,4 ,0 ,626 ,195 ,1180 ,2130 ,2058 ,5355 ,1967 ,5899 ,1294 ,916 ,1245 ,833 ,1210 ,664 ,1248 ,586 ,1178 ,971 ,1209 ,845 ,1414 ,848 ,1778 ,1276 ,4414 ,1744 ,7950 ,1770 ,2258 ,1544 ,1652 ,1347 ,902 ,1037 ,523 ,1201 ,154 ,643 ,8 ,55 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1721,송탄,28 ,2 ,4902 ,652 ,6406 ,3039 ,7728 ,3995 ,8686 ,6013 ,5684 ,2935 ,5775 ,2843 ,6100 ,3010 ,5415 ,3190 ,5728 ,4276 ,4881 ,4609 ,5574 ,4699 ,5893 ,6372 ,6537 ,8345 ,8781 ,10085 ,4773 ,7734 ,3333 ,8477 ,2628 ,5982 ,1771 ,6144 ,635 ,4148 ,39 ,718 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1722,서정리,14 ,2 ,2579 ,6444 ,6425 ,5696 ,7876 ,7182 ,9332 ,8614 ,6547 ,3867 ,6526 ,3959 ,6330 ,4290 ,6859 ,4320 ,6453 ,5658 ,5753 ,5442 ,6661 ,5988 ,7771 ,6997 ,13953 ,8982 ,14397 ,11809 ,7679 ,10168 ,5373 ,8533 ,4171 ,7418 ,2198 ,5627 ,678 ,4187 ,8 ,703 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1723,지제,0 ,0 ,803 ,2236 ,2102 ,4229 ,4269 ,6198 ,3797 ,5014 ,2307 ,2051 ,1928 ,1349 ,2072 ,1663 ,2549 ,1507 ,2159 ,2204 ,2316 ,1342 ,3406 ,2391 ,4086 ,2514 ,7500 ,2240 ,6763 ,4937 ,4166 ,3349 ,2169 ,2602 ,3110 ,2510 ,1793 ,1986 ,432 ,1549 ,0 ,11 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1724,평택,70 ,0 ,5990 ,2631 ,11459 ,6696 ,19233 ,11332 ,17673 ,16244 ,14883 ,13797 ,14315 ,11886 ,13264 ,13670 ,15023 ,12250 ,15107 ,16815 ,14843 ,13578 ,15630 ,17516 ,17592 ,17116 ,21621 ,20653 ,23036 ,27800 ,16918 ,20955 ,16070 ,15072 ,11169 ,14589 ,9083 ,11019 ,4197 ,7616 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1725,성환,13 ,0 ,1581 ,629 ,2497 ,1953 ,4455 ,6869 ,4749 ,7495 ,4231 ,3228 ,3999 ,3353 ,3986 ,3448 ,4203 ,3768 ,4797 ,3712 ,4220 ,3678 ,4121 ,3988 ,5690 ,3736 ,8469 ,5635 ,7783 ,5824 ,3600 ,4554 ,3319 ,4105 ,2078 ,3767 ,1100 ,2793 ,560 ,2940 ,4 ,201 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1726,직산,40 ,1 ,580 ,213 ,1063 ,635 ,1373 ,1734 ,976 ,2617 ,898 ,902 ,748 ,722 ,774 ,619 ,865 ,701 ,854 ,634 ,873 ,565 ,1008 ,831 ,1134 ,793 ,1708 ,1233 ,2491 ,1397 ,871 ,1040 ,745 ,971 ,650 ,833 ,354 ,549 ,149 ,587 ,4 ,192 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1727,두정,963 ,2 ,3530 ,574 ,6391 ,2268 ,9607 ,5599 ,8242 ,5918 ,5337 ,6938 ,5320 ,4809 ,5293 ,5773 ,5101 ,5726 ,5029 ,5911 ,5546 ,5625 ,6063 ,5747 ,7393 ,6582 ,9129 ,6562 ,10608 ,12183 ,6452 ,9630 ,4595 ,8451 ,3829 ,6776 ,3361 ,4733 ,1735 ,4149 ,21 ,1430 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1728,천안,1791 ,2 ,2018 ,403 ,3770 ,2240 ,6940 ,4459 ,6160 ,5367 ,6803 ,7243 ,6394 ,6644 ,7076 ,7852 ,7102 ,8332 ,7168 ,9138 ,8491 ,8521 ,9018 ,7893 ,9251 ,9847 ,10015 ,9131 ,8907 ,10857 ,6808 ,8699 ,5460 ,5770 ,4534 ,4270 ,3256 ,3774 ,1342 ,2323 ,12 ,1508 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1729,당정,6 ,0 ,3073 ,923 ,8828 ,2726 ,22780 ,7252 ,18906 ,14954 ,9512 ,5811 ,6335 ,3953 ,6372 ,3455 ,6998 ,3944 ,6836 ,4867 ,5873 ,4949 ,6437 ,5415 ,7020 ,6730 ,9377 ,8938 ,14767 ,16200 ,6173 ,17759 ,4588 ,10654 ,3725 ,9456 ,2873 ,8980 ,1159 ,5825 ,63 ,1653 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1749,서동탄,0 ,0 ,1297 ,6 ,4002 ,488 ,8849 ,1261 ,4559 ,1823 ,1854 ,729 ,1459 ,856 ,1625 ,887 ,1586 ,1036 ,1432 ,1065 ,1284 ,1250 ,1422 ,1387 ,1700 ,1664 ,1847 ,2541 ,2168 ,3561 ,1242 ,4724 ,730 ,1976 ,610 ,2227 ,455 ,1544 ,15 ,1710 ,5 ,924 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경부선,1750,광명,0 ,0 ,18 ,1981 ,2182 ,2139 ,13299 ,2967 ,4916 ,3720 ,4762 ,2469 ,2865 ,1719 ,3467 ,1223 ,3822 ,2063 ,2751 ,2227 ,2388 ,2163 ,2917 ,3749 ,5877 ,3600 ,5932 ,3774 ,5656 ,8679 ,6115 ,7116 ,2193 ,3892 ,3347 ,2471 ,1515 ,3565 ,407 ,200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1801,개봉,896 ,1 ,15904 ,4798 ,31593 ,11926 ,83420 ,13685 ,78586 ,23801 ,43987 ,17521 ,28010 ,14676 ,24545 ,15623 ,26841 ,18206 ,26157 ,18925 ,22357 ,21845 ,22356 ,24456 ,24471 ,31927 ,27328 ,46840 ,29139 ,77689 ,17198 ,71487 ,12958 ,39884 ,11870 ,35575 ,8408 ,32123 ,4077 ,19457 ,204 ,2690 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1802,오류동,350 ,2 ,10855 ,1608 ,15751 ,5718 ,46869 ,6374 ,45103 ,11719 ,23388 ,9847 ,15422 ,10849 ,13578 ,7759 ,16719 ,9999 ,14938 ,12442 ,12779 ,11295 ,14501 ,14481 ,14937 ,15496 ,14981 ,22368 ,15371 ,36522 ,8636 ,39185 ,6757 ,19507 ,5708 ,21089 ,4760 ,16672 ,2202 ,11505 ,122 ,2570 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1803,역곡,474 ,14 ,23635 ,3275 ,40489 ,10936 ,118331 ,12061 ,111093 ,23575 ,54387 ,20322 ,33798 ,17262 ,29891 ,17922 ,31374 ,24223 ,30597 ,24781 ,26415 ,27445 ,25480 ,30759 ,27931 ,37605 ,33251 ,55272 ,31664 ,100797 ,20725 ,97954 ,16896 ,55555 ,14741 ,47596 ,13166 ,41322 ,6789 ,29249 ,580 ,5271 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1804,부천,1975 ,15 ,29524 ,4153 ,39600 ,13159 ,102924 ,18545 ,101579 ,39573 ,53638 ,35842 ,37015 ,30380 ,36473 ,31130 ,40202 ,35007 ,40297 ,41991 ,37582 ,40693 ,39374 ,42445 ,42479 ,49693 ,48259 ,70143 ,55527 ,106785 ,37393 ,108538 ,29135 ,54583 ,29334 ,48824 ,25346 ,40280 ,13435 ,28488 ,1253 ,6712 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1805,송내,1210 ,15 ,13954 ,7400 ,34272 ,14350 ,111785 ,27071 ,86874 ,75626 ,43347 ,40382 ,29919 ,22897 ,29233 ,20626 ,33004 ,21463 ,29659 ,23457 ,26913 ,23587 ,28469 ,26500 ,31988 ,32654 ,41539 ,47524 ,74563 ,85134 ,33406 ,88343 ,23623 ,47848 ,19924 ,40246 ,16804 ,35212 ,8384 ,25005 ,1409 ,4189 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1806,부평,6264 ,37 ,21814 ,4646 ,34180 ,10438 ,84241 ,17417 ,75229 ,32228 ,39427 ,36213 ,32065 ,31360 ,33922 ,34994 ,37660 ,43931 ,38213 ,51455 ,38465 ,50681 ,41408 ,54266 ,46821 ,59359 ,54712 ,72038 ,54639 ,118146 ,42687 ,105493 ,39825 ,58098 ,42187 ,45777 ,39835 ,36296 ,23120 ,26152 ,3837 ,8039 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1807,백운,81 ,2 ,6756 ,1476 ,13267 ,2963 ,27422 ,4428 ,23478 ,9499 ,13540 ,7384 ,10298 ,5432 ,9646 ,5888 ,10341 ,6876 ,9492 ,7280 ,8797 ,7614 ,8044 ,8465 ,8202 ,10939 ,9214 ,14234 ,10111 ,22669 ,5320 ,22950 ,4020 ,12960 ,3953 ,12132 ,2806 ,10812 ,1663 ,7618 ,173 ,2073 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1808,동암,339 ,4 ,17900 ,4708 ,28180 ,9274 ,52926 ,13203 ,49552 ,16938 ,28382 ,13313 ,20638 ,11734 ,19478 ,12516 ,20647 ,14598 ,20054 ,16079 ,18217 ,16925 ,17141 ,19908 ,19135 ,22150 ,22711 ,34610 ,23646 ,51032 ,15153 ,49280 ,11326 ,30926 ,10540 ,27497 ,8517 ,22921 ,4274 ,17703 ,372 ,4127 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1809,주안,642 ,5 ,12464 ,3218 ,23364 ,8608 ,62624 ,16293 ,51907 ,26776 ,30105 ,21765 ,22812 ,15479 ,23853 ,15179 ,27679 ,18928 ,26522 ,18604 ,24180 ,19764 ,25306 ,21551 ,28412 ,24144 ,34304 ,34108 ,37439 ,52968 ,22972 ,59724 ,19196 ,33432 ,18151 ,27227 ,15720 ,25761 ,8446 ,18719 ,1010 ,5727 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1810,제물포,574 ,2 ,6273 ,1542 ,12081 ,5545 ,34017 ,9329 ,29176 ,19756 ,16191 ,10587 ,12177 ,7975 ,12170 ,6926 ,12980 ,8235 ,12572 ,10233 ,11341 ,9437 ,12213 ,10172 ,13548 ,11740 ,17363 ,17152 ,20563 ,24197 ,9126 ,25921 ,6563 ,15744 ,5155 ,14365 ,3533 ,12909 ,1748 ,9960 ,137 ,3372 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1811,동인천,1396 ,6 ,7008 ,2188 ,14710 ,9555 ,39026 ,18329 ,29638 ,29065 ,18826 ,15591 ,16529 ,15415 ,17815 ,17779 ,19642 ,17205 ,20347 ,17928 ,19199 ,18304 ,21021 ,17728 ,22925 ,19737 ,30715 ,22676 ,38674 ,29949 ,21042 ,33902 ,13284 ,20613 ,9822 ,15816 ,6604 ,15690 ,2785 ,11312 ,26 ,4435 ,1 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1812,인천,247 ,3 ,1164 ,604 ,2534 ,2691 ,4985 ,4190 ,4048 ,6502 ,2612 ,2594 ,2178 ,2798 ,2882 ,3840 ,3654 ,4304 ,4376 ,4324 ,4763 ,4399 ,5588 ,3839 ,6272 ,3120 ,8325 ,2464 ,9505 ,2464 ,3831 ,1851 ,2969 ,1596 ,1705 ,1189 ,1255 ,1113 ,496 ,1092 ,7 ,965 ,0 ,8 ,0 ,0 ,0 ,0 
Feb-20,경인선,1813,구일,201 ,18 ,3295 ,1339 ,8018 ,2750 ,26301 ,4762 ,22025 ,11146 ,11062 ,5363 ,7424 ,3823 ,6622 ,3660 ,7273 ,4545 ,6816 ,5451 ,6089 ,5746 ,6325 ,6186 ,6553 ,8150 ,8020 ,10978 ,11065 ,21597 ,5029 ,22152 ,3554 ,10625 ,3127 ,9418 ,2661 ,8832 ,1213 ,5673 ,45 ,1100 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1814,소사,889 ,11 ,13622 ,2258 ,15247 ,6397 ,34559 ,7197 ,30245 ,11156 ,17813 ,8119 ,12791 ,7702 ,11694 ,8403 ,12207 ,10280 ,11841 ,10789 ,11238 ,10961 ,11283 ,10955 ,12174 ,12710 ,13208 ,17825 ,13143 ,25951 ,7505 ,27653 ,5351 ,14857 ,4234 ,14118 ,3365 ,13697 ,1581 ,8769 ,112 ,3016 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1815,부개,1637 ,18 ,7883 ,1980 ,14570 ,3667 ,36821 ,4121 ,29864 ,10049 ,15803 ,6116 ,11301 ,5564 ,10557 ,6198 ,10467 ,7107 ,9727 ,7681 ,9050 ,8427 ,8279 ,10291 ,8924 ,12022 ,10634 ,15885 ,10932 ,27070 ,6063 ,25698 ,4525 ,15222 ,3757 ,13649 ,2928 ,11525 ,1551 ,8380 ,226 ,1902 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1816,간석,325 ,20 ,4781 ,1078 ,10875 ,2013 ,22351 ,3049 ,19436 ,6587 ,9987 ,5374 ,7383 ,4118 ,7581 ,4624 ,7624 ,5318 ,7483 ,5751 ,6520 ,6078 ,6914 ,7230 ,6671 ,7956 ,7176 ,11068 ,8624 ,16867 ,4854 ,18458 ,3740 ,10988 ,3429 ,9268 ,2515 ,7910 ,1553 ,6125 ,147 ,2059 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1817,도원,478 ,10 ,1931 ,927 ,3115 ,1478 ,5985 ,2413 ,5700 ,9502 ,3929 ,3863 ,3592 ,3691 ,4225 ,3386 ,4977 ,3256 ,4416 ,3950 ,4036 ,3718 ,4170 ,4374 ,4566 ,4229 ,5168 ,4974 ,7486 ,5403 ,2686 ,4792 ,1751 ,3151 ,1432 ,3253 ,987 ,2599 ,322 ,1959 ,55 ,1340 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1821,온수(성공회대입구),133 ,0 ,4597 ,1144 ,7511 ,3539 ,19835 ,6411 ,19512 ,11250 ,11718 ,5781 ,8474 ,5388 ,8099 ,4591 ,9709 ,5768 ,8908 ,6073 ,7601 ,6280 ,7692 ,7527 ,8840 ,8274 ,9574 ,11760 ,10232 ,18986 ,5183 ,18984 ,3584 ,11033 ,4186 ,10122 ,2913 ,8469 ,1780 ,5837 ,201 ,1046 ,1 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1822,중동,426 ,3 ,8566 ,1296 ,15115 ,4408 ,40209 ,4944 ,31262 ,11834 ,15603 ,8476 ,10329 ,6580 ,10585 ,6467 ,11473 ,7000 ,10988 ,8413 ,9218 ,8061 ,9288 ,9558 ,9805 ,10974 ,10418 ,17418 ,12413 ,27001 ,6636 ,27655 ,5190 ,16004 ,4165 ,13328 ,2889 ,12053 ,1559 ,9074 ,147 ,2326 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경인선,1823,도화,211 ,1 ,3298 ,898 ,5588 ,2907 ,13853 ,3210 ,11045 ,5627 ,6915 ,2868 ,5106 ,2951 ,4747 ,3023 ,4909 ,3734 ,4986 ,3912 ,4415 ,3886 ,4227 ,4810 ,5259 ,5034 ,6605 ,6215 ,6151 ,8659 ,3077 ,8438 ,2149 ,5242 ,1515 ,4957 ,993 ,4065 ,638 ,3678 ,37 ,1545 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1008,이촌(국립중앙박물관),68 ,2 ,1035 ,632 ,3063 ,1952 ,6769 ,3627 ,8710 ,7673 ,6557 ,4753 ,4836 ,3137 ,4740 ,2854 ,5218 ,2883 ,5567 ,3696 ,4918 ,3357 ,5684 ,3807 ,6814 ,4088 ,8399 ,4826 ,8837 ,6940 ,4742 ,6084 ,3793 ,3754 ,3404 ,3059 ,2358 ,3508 ,759 ,2213 ,82 ,610 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1009,서빙고,28 ,0 ,567 ,538 ,1541 ,2260 ,2325 ,3745 ,2842 ,7040 ,2328 ,2684 ,2050 ,2222 ,1945 ,1639 ,2268 ,1589 ,2660 ,2245 ,2387 ,1703 ,2945 ,2249 ,3171 ,2428 ,4983 ,2343 ,6292 ,3168 ,2459 ,2758 ,2047 ,1564 ,1627 ,1160 ,1129 ,1353 ,273 ,898 ,14 ,348 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1010,한남,138 ,0 ,1754 ,496 ,2428 ,4865 ,4364 ,8646 ,5532 ,12932 ,4251 ,11412 ,3894 ,5355 ,4326 ,3992 ,4739 ,4204 ,4536 ,4994 ,5044 ,3992 ,6113 ,4136 ,7838 ,4827 ,11724 ,5982 ,15419 ,7423 ,7094 ,5601 ,4974 ,3310 ,4679 ,3143 ,3778 ,2436 ,1926 ,1614 ,80 ,607 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1011,옥수,0 ,0 ,0 ,5 ,10 ,65 ,21 ,16 ,77 ,155 ,33 ,31 ,22 ,69 ,16 ,153 ,14 ,41 ,23 ,35 ,33 ,22 ,37 ,14 ,237 ,21 ,219 ,45 ,20 ,22 ,220 ,16 ,17 ,7 ,34 ,5 ,16 ,13 ,20 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1012,응봉,135 ,1 ,919 ,223 ,2142 ,874 ,5515 ,1372 ,6773 ,1890 ,3573 ,1114 ,2148 ,1038 ,2039 ,1078 ,2071 ,1280 ,2051 ,1684 ,1770 ,1770 ,1944 ,2113 ,2279 ,2481 ,2342 ,2952 ,2424 ,4473 ,1398 ,4697 ,799 ,2287 ,756 ,1986 ,526 ,1537 ,231 ,1251 ,15 ,339 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1013,왕십리(성동구청),638 ,2 ,4532 ,773 ,7240 ,4549 ,22391 ,8548 ,40766 ,18276 ,24184 ,14216 ,12645 ,13329 ,12151 ,15245 ,14819 ,18160 ,16658 ,21727 ,17175 ,21593 ,19032 ,23185 ,21292 ,26852 ,25621 ,34582 ,27100 ,62376 ,21099 ,50585 ,20019 ,27160 ,24374 ,20497 ,24059 ,19735 ,12733 ,10850 ,1280 ,4192 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1014,청량리(서울시립대입구),861 ,5 ,5381 ,903 ,6202 ,7970 ,24858 ,9411 ,27917 ,16153 ,21848 ,23533 ,20170 ,19552 ,16197 ,23603 ,20577 ,23214 ,22161 ,23056 ,22805 ,23791 ,24977 ,25078 ,23320 ,26655 ,26106 ,26959 ,24890 ,40421 ,20014 ,33750 ,23164 ,16922 ,9668 ,14339 ,8410 ,12568 ,3063 ,7653 ,234 ,3255 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1016,외대앞,456 ,6 ,4753 ,1242 ,7646 ,2991 ,18217 ,3889 ,23292 ,10370 ,14198 ,9143 ,10112 ,7142 ,9695 ,7867 ,10885 ,8622 ,11649 ,9320 ,11329 ,10291 ,12521 ,10704 ,12878 ,12440 ,13309 ,15151 ,12518 ,21357 ,8583 ,21097 ,6980 ,12717 ,6927 ,11678 ,6006 ,10994 ,2877 ,9230 ,259 ,1970 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1017,신이문,1317 ,5 ,7257 ,1207 ,12745 ,2462 ,34183 ,4068 ,39670 ,7929 ,20278 ,4457 ,13576 ,4934 ,10897 ,5715 ,11155 ,6771 ,10819 ,7817 ,9088 ,8686 ,8630 ,11134 ,8079 ,12925 ,8580 ,17074 ,9385 ,26838 ,5869 ,26938 ,3580 ,15305 ,2889 ,12894 ,2085 ,12538 ,907 ,8167 ,95 ,1655 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1018,석계,1274 ,7 ,5306 ,1788 ,11567 ,4096 ,24107 ,4705 ,29393 ,8352 ,18601 ,6352 ,13321 ,6039 ,11929 ,7234 ,12482 ,9057 ,12111 ,10356 ,10781 ,11490 ,10839 ,13905 ,10229 ,16696 ,11236 ,22951 ,11411 ,33543 ,8151 ,32539 ,6109 ,18676 ,5735 ,16416 ,4601 ,14890 ,2524 ,8784 ,295 ,1768 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1019,광운대,1826 ,12 ,5313 ,1460 ,12039 ,2873 ,32923 ,4763 ,29970 ,8493 ,14993 ,7414 ,10290 ,6424 ,9638 ,6014 ,10201 ,7732 ,10314 ,8728 ,9160 ,9009 ,9169 ,10115 ,10257 ,12228 ,10284 ,14204 ,9614 ,21451 ,5811 ,23896 ,4717 ,13763 ,4242 ,11102 ,3344 ,11259 ,1919 ,9088 ,269 ,3612 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1020,월계,255 ,2 ,5571 ,999 ,6900 ,2345 ,17844 ,4101 ,19300 ,7112 ,12191 ,4454 ,9257 ,4365 ,7963 ,4764 ,8372 ,5512 ,8165 ,5677 ,6855 ,6503 ,7052 ,7015 ,7116 ,9514 ,6904 ,10512 ,7505 ,15796 ,4594 ,16079 ,3118 ,9484 ,2601 ,7742 ,1869 ,6878 ,832 ,4919 ,103 ,1786 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1021,녹천,452 ,3 ,4487 ,472 ,6496 ,1412 ,18274 ,2420 ,17463 ,4546 ,10231 ,2439 ,7217 ,3046 ,5705 ,3085 ,6793 ,3811 ,6103 ,3586 ,4691 ,3855 ,4946 ,5086 ,4718 ,6817 ,5429 ,7790 ,5074 ,11326 ,3309 ,12974 ,1955 ,7349 ,1903 ,6259 ,1099 ,5513 ,460 ,4081 ,73 ,1393 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경원선,1022,창동,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
